,Title,Studio_Abbreviation,Worldwide_Gross,Domestic_Gross,Domestic_Share,Overseas_Gross,Overseas_Share,Year_x,Genre,IMDB_Score,Metascore,Votes,Subgenre1,Subgrene2,Subgrene3,Actors,Awards,Country,Director,Language,Plot,Poster,Production,Rated,Ratings,Released,Runtime,Writer
10,The Meg,WB,530.2,145.4,27.4,384.8,72.6,2018,"Action, Horror, Sci-Fi",5.7,46,102230,Action, Horror, Sci-Fi,"Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis",,"China, USA",Jon Turteltaub,"English, Mandarin, Thai, Japanese","After escaping an attack by what he claims was a 70-foot shark, Jonas Taylor must confront his fears to save those trapped in a sunken submersible.",https://m.media-amazon.com/images/M/MV5BMjg0MzA4MDE0N15BMl5BanBnXkFtZTgwMzk3MzAwNjM@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",10 Aug 2018,113 min,"Dean Georgaris (screenplay by), Jon Hoeber (screenplay by), Erich Hoeber (screenplay by), Steve Alten (based on the novel ""Meg"" by)"
11,Hotel Transylvania 3: Summer Vacation,Sony,528.6,167.5,31.7,361.1,68.3,2018,"Animation, Adventure, Comedy",6.3,54,39051,Animation, Adventure, Comedy,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James",,USA,Genndy Tartakovsky,"English, Spanish, German, Russian","Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.",https://m.media-amazon.com/images/M/MV5BNjA1MzU5MTY3OF5BMl5BanBnXkFtZTgwNTU5MDA3NTM@._V1_SX300.jpg,Columbia Pictures / Sony Pictures Animation,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",13 Jul 2018,97 min,"Genndy Tartakovsky, Michael McCullers"
12,Ralph Breaks the Internet,BV,527.5,201.0,38.1,326.5,61.9,2018,"Animation, Adventure, Comedy",7.2,71,71138,Animation, Adventure, Comedy,"John C. Reilly, Sarah Silverman, Gal Gadot, Taraji P. Henson",,USA,"Phil Johnston, Rich Moore",English,"Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.",https://m.media-amazon.com/images/M/MV5BMTYyNzEyNDAzOV5BMl5BanBnXkFtZTgwNTk3NDczNjM@._V1_SX300.jpg,Walt Disney Animation Studios,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",21 Nov 2018,111 min,"Phil Johnston (screenplay by), Pamela Ribon (screenplay by), Rich Moore (story by), Phil Johnston (story by), Jim Reardon (story by), Pamela Ribon (story by), Josie Trinidad (story by), Kelly Younger (Additional Story Material by)"
13,Bumblebee,Par.,462.5,127.2,27.5,335.3,72.5,2018,"Action, Adventure, Sci-Fi",7.0,66,65760,Action, Adventure, Sci-Fi,"Hailee Steinfeld, Jorge Lendeborg Jr., John Cena, Jason Drucker",,USA,Travis Knight,English,"On the run in the year of 1987, Bumblebee finds refuge in a junkyard in a small Californian beach town. Charlie, on the cusp of turning 18 and trying to find her place in the world, discovers Bumblebee, battle-scarred and broken.",https://m.media-amazon.com/images/M/MV5BOTM3NzE5OTE1Nl5BMl5BanBnXkFtZTgwNzQwNjM3NjM@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",21 Dec 2018,114 min,"Christina Hodson, Christina Hodson (story by)"
14,Solo: A Star Wars Story,BV,392.9,213.8,54.4,179.2,45.6,2018,"Action, Adventure, Fantasy",7.0,62,213274,Action, Adventure, Fantasy,"Alden Ehrenreich, Joonas Suotamo, Woody Harrelson, Emilia Clarke",,USA,Ron Howard,English,"During an adventure into the criminal underworld, Han Solo meets his future co-pilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion.",https://m.media-amazon.com/images/M/MV5BOTM2NTI3NTc3Nl5BMl5BanBnXkFtZTgwNzM1OTQyNTM@._V1_SX300.jpg,Walt Disney Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",25 May 2018,135 min,"Jonathan Kasdan, Lawrence Kasdan, George Lucas (based on characters created by)"
15,Fifty Shades Freed,Uni.,371.9,100.4,27.0,271.5,73.0,2018,"Drama, Romance, Thriller",4.5,31,42008,Drama, Romance, Thriller,"Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford",,USA,James Foley,English,"Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.",https://m.media-amazon.com/images/M/MV5BMTYxOTQ1MzI0Nl5BMl5BanBnXkFtZTgwMzgwMzIxNDM@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",09 Feb 2018,105 min,"Niall Leonard (screenplay by), E.L. James (based on the novel by)"
16,The Nun,WB (NL),365.6,117.5,32.1,248.1,67.9,2018,"Horror, Mystery, Thriller",5.4,46,81934,Horror, Mystery, Thriller,"Demián Bichir, Taissa Farmiga, Jonas Bloquet, Bonnie Aarons",,USA,Corin Hardy,"English, French, Romanian, Latin",A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.,https://m.media-amazon.com/images/M/MV5BMjM3NzQ5NDcxOF5BMl5BanBnXkFtZTgwNzM4MTQ5NTM@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",07 Sep 2018,96 min,"Gary Dauberman (screenplay by), James Wan (story by), Gary Dauberman (story by)"
17,Peter Rabbit,Sony,351.3,115.3,32.8,236.0,67.2,2018,"Animation, Adventure, Comedy",6.6,51,26580,Animation, Adventure, Comedy,"James Corden, Fayssal Bazzi, Domhnall Gleeson, Sia",,"USA, Australia",Will Gluck,English,Feature adaptation of Beatrix Potter's classic tale of a rebellious rabbit trying to sneak into a farmer's vegetable garden.,https://m.media-amazon.com/images/M/MV5BMzI5MzZmZjItOGQzZC00NjNiLWFjMjQtMGNhY2NmNDMyNGM1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Columbia Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",09 Feb 2018,95 min,"Rob Lieber (screen story by), Will Gluck (screen story by), Rob Lieber (screenplay by), Will Gluck (screenplay by), Beatrix Potter (based on the characters and tales of ""Peter Rabbit"" by)"
18,Mary Poppins Returns,BV,348.8,171.8,49.3,176.9,50.7,2018,"Comedy, Family, Fantasy",7.0,66,41061,Comedy, Family, Fantasy,"Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer",,USA,Rob Marshall,English,"Decades after her original visit, the magical nanny returns to help the Banks siblings and Michael's children through a difficult time in their lives.",https://m.media-amazon.com/images/M/MV5BMTk0NDIzMTA1MF5BMl5BanBnXkFtZTgwMzM0MTUzNjM@._V1_SX300.jpg,Walt Disney Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",19 Dec 2018,130 min,"David Magee (screenplay by), David Magee (screen story by), Rob Marshall (screen story by), John DeLuca (screen story by), P.L. Travers (based upon the ""Mary Poppins"" stories by)"
19,A Quiet Place,Par.,340.9,188.0,55.1,152.9,44.9,2018,"Drama, Horror, Mystery",7.6,82,286722,Drama, Horror, Mystery,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe",,USA,John Krasinski,"English, American Sign Language","In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",https://m.media-amazon.com/images/M/MV5BMjI0MDMzNTQ0M15BMl5BanBnXkFtZTgwMTM5NzM3NDM@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",06 Apr 2018,90 min,"Bryan Woods (screenplay by), Scott Beck (screenplay by), John Krasinski (screenplay by), Bryan Woods (story by), Scott Beck (story by)"
20,Skyscraper,Uni.,304.9,68.4,22.4,236.4,77.6,2018,"Action, Adventure, Thriller",5.8,51,74418,Action, Adventure, Thriller,"Dwayne Johnson, Neve Campbell, Chin Han, Roland Møller",,USA,Rawson Marshall Thurber,"English, Cantonese, Mandarin","A security expert must infiltrate a burning skyscraper, 225 stories above ground, when his family is trapped inside by criminals.",https://m.media-amazon.com/images/M/MV5BOGM3MzQwYzItNDA1Ny00MzIyLTg5Y2QtYTAwMzNmMDU2ZDgxXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",13 Jul 2018,102 min,Rawson Marshall Thurber
21,Green Book,Uni.,294.6,84.0,28.5,210.6,71.5,2018,"Biography, Comedy, Drama",8.3,69,158162,Biography, Comedy, Drama,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco",,USA,Peter Farrelly,"English, Italian, Russian, German",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,https://m.media-amazon.com/images/M/MV5BYzIzYmJlYTYtNGNiYy00N2EwLTk4ZjItMGYyZTJiOTVkM2RlXkEyXkFqcGdeQXVyODY1NDk1NjE@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",16 Nov 2018,130 min,"Nick Vallelonga, Brian Hayes Currie, Peter Farrelly"
22,Crazy Rich Asians,WB,238.5,174.5,73.2,64.0,26.8,2018,"Comedy, Romance",7.0,74,84875,Comedy, Romance,,"Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan",,USA,Jon M. Chu,"English, Mandarin, Cantonese, Hokkien, French, Malay","This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.",https://m.media-amazon.com/images/M/MV5BMTYxNDMyOTAxN15BMl5BanBnXkFtZTgwMDg1ODYzNTM@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",15 Aug 2018,120 min,"Peter Chiarelli (screenplay by), Adele Lim (screenplay by), Kevin Kwan (based on the novel ""Crazy Rich Asians"" by)"
23,Paddington 2,WB,227.3,40.9,18.0,186.4,82.0,2018,"Adventure, Comedy, Family",7.9,88,44429,Adventure, Comedy, Family,"Michael Gambon, Imelda Staunton, Ben Whishaw, Madeleine Harris",Nominated for 3 BAFTA Film Awards. Another 3 wins & 7 nominations.,"UK, France, USA",Paul King,English,"Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen.",https://m.media-amazon.com/images/M/MV5BMmYwNWZlNzEtNjE4Zi00NzQ4LWI2YmUtOWZhNzZhZDYyNmVmXkEyXkFqcGdeQXVyNzYzODM3Mzg@._V1_SX300.jpg,,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Metacritic', 'Value': '88/100'}]",12 Jan 2018,103 min,"Paul King, Simon Farnaby, Michael Bond (""Paddington Bear"" created by), Jon Croker (additional material)"
24,Smallfoot,WB,214.1,83.2,38.9,130.9,61.1,2018,"Animation, Adventure, Comedy",6.7,60,20840,Animation, Adventure, Comedy,"Channing Tatum, James Corden, Zendaya, Common",,USA,"Karey Kirkpatrick, Jason Reisig(co-director)","English, Mandarin","A Yeti is convinced that the elusive creatures known as ""humans"" really do exist.",https://m.media-amazon.com/images/M/MV5BMTc5NzI1NjY4MV5BMl5BanBnXkFtZTgwNDIxNTIyNDM@._V1_SX300.jpg,Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",28 Sep 2018,96 min,"Karey Kirkpatrick (screenplay by), Clare Sera (screenplay by), John Requa (screen story by), Glenn Ficarra (screen story by), Karey Kirkpatrick (screen story by), Sergio Pablos (based on the book ""Yeti Tracks"" by), Sergio Pablos"
25,Creed II,MGM,213.9,115.7,54.1,98.2,45.9,2018,"Drama, Sport",7.3,66,60280,Drama, Sport,,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad",,USA,Steven Caple Jr.,"English, Russian","Under the tutelage of Rocky Balboa, heavyweight contender Adonis Creed faces off against Viktor Drago, son of Ivan Drago.",https://m.media-amazon.com/images/M/MV5BMTcxMjUwNjQ5N15BMl5BanBnXkFtZTgwNjk4MzI4NjM@._V1_SX300.jpg,MGM,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",21 Nov 2018,130 min,"Cheo Hodari Coker (story by), Ryan Coogler (characters), Sascha Penn (story by), Sylvester Stallone (screenplay by), Juel Taylor (screenplay by), Juel Taylor"
26,The Equalizer 2,Sony,190.4,102.1,53.6,88.3,46.4,2018,"Action, Crime, Thriller",6.7,50,88387,Action, Crime, Thriller,"Denzel Washington, Pedro Pascal, Ashton Sanders, Orson Bean",,USA,Antoine Fuqua,"English, French, Turkish, Hebrew, Arabic, Spanish","Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?",https://m.media-amazon.com/images/M/MV5BMTU2OTYzODQyMF5BMl5BanBnXkFtZTgwNjU3Njk5NTM@._V1_SX300.jpg,Columbia Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",20 Jul 2018,121 min,"Richard Wenk, Michael Sloan (based on the television series created by), Richard Lindheim (based on the television series created by)"
27,Insidious: The Last Key,Uni.,167.9,67.7,40.4,100.1,59.6,2018,"Horror, Mystery, Thriller",5.7,49,40194,Horror, Mystery, Thriller,"Lin Shaye, Leigh Whannell, Angus Sampson, Kirk Acevedo",,"Canada, USA",Adam Robitel,English,"Parapsychologist Dr. Elise Rainier faces her most fearsome and personal haunting yet, as she is drawn back to her ghostly childhood home, where the terror began.",https://m.media-amazon.com/images/M/MV5BMTUxODU0NjQ2Nl5BMl5BanBnXkFtZTgwMTc4NDQ0MzI@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",05 Jan 2018,103 min,"Leigh Whannell, Leigh Whannell (based on characters created by)"
28,The Mule,WB,166.7,103.8,62.3,62.9,37.7,2018,"Crime, Drama, Thriller",7.1,58,32316,Crime, Drama, Thriller,"Clint Eastwood, Patrick L. Reyes, Cesar De León, Gustavo Muñoz",,USA,Clint Eastwood,"English, Spanish",A 90-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.,https://m.media-amazon.com/images/M/MV5BMTc1OTc5NzA4OF5BMl5BanBnXkFtZTgwOTAzMzE2NjM@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",14 Dec 2018,116 min,"Sam Dolnick (inspired by the New York Times Magazine Article ""The Sinaloa Cartel's 90-Year Old Drug Mule"" by), Nick Schenk"
29,Red Sparrow,Fox,151.6,46.9,30.9,104.7,69.1,2018,"Action, Drama, Thriller",6.6,53,131527,Action, Drama, Thriller,"Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts, Charlotte Rampling",,USA,Francis Lawrence,"English, Russian","Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both nations.",https://m.media-amazon.com/images/M/MV5BMTA3MDkxOTc4NDdeQTJeQWpwZ15BbWU4MDAxNzgyNTQz._V1_SX300.jpg,Twentieth Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",02 Mar 2018,140 min,"Justin Haythe (screenplay by), Jason Matthews (based upon the book by)"
